function,0,1
(missing),0.9477924089852827,0.052207591014717274
Accounting/Auditing,0.8632075471698113,0.13679245283018868
Administrative,0.8111111111111111,0.18888888888888888
Advertising,0.9444444444444444,0.05555555555555555
Art/Creative,0.9924242424242424,0.007575757575757576
Business Analyst,0.9880952380952381,0.011904761904761904
Business Development,0.9429824561403509,0.05701754385964912
Consulting,0.9722222222222222,0.027777777777777776
Customer Service,0.9454841334418226,0.05451586655817738
Data Analyst,0.9512195121951219,0.04878048780487805
Design,0.9911764705882353,0.008823529411764706
Distribution,0.875,0.125
Education,0.9969230769230769,0.003076923076923077
Engineering,0.9161721068249258,0.08382789317507418
Finance,0.9127906976744186,0.0872093023255814
Financial Analyst,0.8484848484848485,0.15151515151515152
General Business,0.9852941176470589,0.014705882352941176
Health Care Provider,0.9970414201183432,0.0029585798816568047
Human Resources,0.9560975609756097,0.04390243902439024
Information Technology,0.9817038307604345,0.018296169239565466
Legal,1.0,0.0
Management,0.9810725552050473,0.01892744479495268
Manufacturing,0.972972972972973,0.02702702702702703
Marketing,0.9879518072289156,0.012048192771084338
Other,0.9015384615384615,0.09846153846153846
Product Management,1.0,0.0
Production,1.0,0.0
Project Management,0.9453551912568307,0.0546448087431694
Public Relations,0.9868421052631579,0.013157894736842105
Purchasing,1.0,0.0
Quality Assurance,1.0,0.0
Research,1.0,0.0
Sales,0.9720708446866485,0.027929155313351498
Science,1.0,0.0
Strategy/Planning,0.9782608695652174,0.021739130434782608
Supply Chain,1.0,0.0
Training,1.0,0.0
Writing/Editing,1.0,0.0
